Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
P.S. 96 - BRONX,Geographic  District: 11<br>Building Code: X096<br>Address: 2385 OLINVILLE AVENUE<br>Zip Code: 10467<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,11,X096,2385 OLINVILLE AVENUE,10467,Bronx,Community School & DYCD,"2385 OLINVILLE AVENUE Bronx, NY 10467",40.860985,-73.8690837
HERBERT H. LEHMAN HS - X,Geographic  District: 11<br>Building Code: X405<br>Address: 3000 EAST TREMONT AVENUE<br>Zip Code: 10461<br>Borough: Bronx<br>Type: Community School & SBHC,,,,,,,-1,,,11,X405,3000 EAST TREMONT AVENUE,10461,Bronx,Community School & SBHC,"3000 EAST TREMONT AVENUE Bronx, NY 10461",40.8398166,-73.8379549
P.S. 106 - BRONX,Geographic  District: 11<br>Building Code: X106<br>Address: 1514 OLMSTEAD AVENUE<br>Zip Code: 10462<br>Borough: Bronx<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,11,X106,1514 OLMSTEAD AVENUE,10462,Bronx,Community School or DYCD with a pre-K or LYFE Center,"1514 OLMSTEAD AVENUE Bronx, NY 10462",40.8369134,-73.8550508
District 11 Pre-K Center at 1684 White Plains Road,Geographic  District: 11<br>Building Code: X311<br>Address: 1684 White Plains Road<br>Zip Code: 10462<br>Borough: Bronx<br>Type: Standalone Pre-K Site,,,,,,,-1,,,11,X311,1684 White Plains Road,10462,Bronx,Standalone Pre-K Site,"1684 White Plains Road Bronx, NY 10462",40.8436364,-73.865332
P.S./I.S. 189 - BRONX,Geographic  District: 11<br>Building Code: X189<br>Address: 3441 STEENWICK AVENUE<br>Zip Code: 10475<br>Borough: Bronx<br>Type: DYCD Program,,,,,,,-1,,,11,X189,3441 STEENWICK AVENUE,10475,Bronx,DYCD Program,"3441 STEENWICK AVENUE Bronx, NY 10475",40.8831455,-73.830787
P.S. 211 - BRONX,Geographic  District: 12<br>Building Code: X193<br>Address: 1919 PROSPECT AVENUE<br>Zip Code: 10457<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,12,X193,1919 PROSPECT AVENUE,10457,Bronx,Community School & DYCD,"1919 PROSPECT AVENUE Bronx, NY 10457",40.8437691,-73.8903279
I.S. 216 - BRONX,Geographic  District: 12<br>Building Code: X116<br>Address: 977 FOX STREET<br>Zip Code: 10459<br>Borough: Bronx<br>Type: Community School & DYCD,,,,,,,-1,,,12,X116,977 FOX STREET,10459,Bronx,Community School & DYCD,"977 FOX STREET Bronx, NY 10459",40.8220835,-73.8940382
I.S. 158 - BRONX,Geographic  District: 12<br>Building Code: X158<br>Address: 800 HOME STREET<br>Zip Code: 10456<br>Borough: Bronx<br>Type: Community School & SBHC,,,,,,,-1,,,12,X158,800 HOME STREET,10456,Bronx,Community School & SBHC,"800 HOME STREET Bronx, NY 10456",40.8273875,-73.9008013
P.S. 56 - BROOKLYN,Geographic  District: 13<br>Building Code: K056<br>Address: 170 GATES AVENUE<br>Zip Code: 11238<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,13,K056,170 GATES AVENUE,11238,Brooklyn,Community School & DYCD,"170 GATES AVENUE Brooklyn, NY 11238",40.6842985,-73.9603205
P.S. 133 WILLIAM A. BUTLER - BROOKLYN,Geographic  District: 13<br>Building Code: K317<br>Address: 610 BALTIC STREET<br>Zip Code: 11217<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,13,K317,610 BALTIC STREET,11217,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"610 BALTIC STREET Brooklyn, NY 11217",40.6801221,-73.9806648
DOCK ST CAMPUS - BROOKLYN,Geographic  District: 13<br>Building Code: K611<br>Address: 19 DOCK STREET <br>Zip Code: 11201<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,13,K611,19 DOCK STREET ,11201,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"19 DOCK STREET  Brooklyn, NY 11201",40.7030848,-73.9922313
District 13 Pre-K Center at 25 Dock Street,Geographic  District: 13<br>Building Code: K611<br>Address: 25 Dock Street<br>Zip Code: 11201<br>Borough: Brooklyn<br>Type: Standalone Pre-K Site,,,,,,,-1,,,13,K611,25 Dock Street,11201,Brooklyn,Standalone Pre-K Site,"25 Dock Street Brooklyn, NY 11201",40.7030691,-73.992565
I.S. 71 - BROOKLYN,Geographic  District: 14<br>Building Code: K071<br>Address: 215 HEYWARD STREET<br>Zip Code: 11206<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,14,K071,215 HEYWARD STREET,11206,Brooklyn,Community School & DYCD,"215 HEYWARD STREET Brooklyn, NY 11206",40.7039101,-73.9537081
P.S. 110 - BROOKLYN,Geographic  District: 14<br>Building Code: K110<br>Address: 124 MONITOR STREET<br>Zip Code: 11222<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,14,K110,124 MONITOR STREET,11222,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"124 MONITOR STREET Brooklyn, NY 11222",40.7237601,-73.9419954
P.S. 338 - Brooklyn,Geographic  District: 15<br>Building Code: K338<br>Address: 21 HINCKLEY PLACE<br>Zip Code: 11218<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,15,K338,21 HINCKLEY PLACE,11218,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"21 HINCKLEY PLACE Brooklyn, NY 11218",40.6445569,-73.9713377
P.S./I.S. 437 - BROOKLYN,Geographic  District: 15<br>Building Code: K437<br>Address: 713 CATON AVENUE<br>Zip Code: 11218<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,15,K437,713 CATON AVENUE,11218,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"713 CATON AVENUE Brooklyn, NY 11218",40.6478367,-73.9732286
Bishop Ford School,Geographic  District: 15<br>Building Code: K280<br>Address: 500 19th Street <br>Zip Code: 11215<br>Borough: Brooklyn<br>Type: Standalone Pre-K Site,,,,,,,-1,,,15,K280,500 19th Street ,11215,Brooklyn,Standalone Pre-K Site,"500 19th Street  Brooklyn, NY 11215",40.6564072,-73.9827275
P.S. 26 - BROOKLYN,Geographic  District: 16<br>Building Code: K026<br>Address: 1014 LAFAYETTE AVENUE<br>Zip Code: 11221<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,16,K026,1014 LAFAYETTE AVENUE,11221,Brooklyn,Community School & DYCD,"1014 LAFAYETTE AVENUE Brooklyn, NY 11221",40.6919757,-73.9314884
BOYS & GIRLS HS - K,Geographic  District: 16<br>Building Code: K455<br>Address: 1700 FULTON STREET<br>Zip Code: 11213<br>Borough: Brooklyn<br>Type: Community School & SBHC,,,,,,,-1,,,16,K455,1700 FULTON STREET,11213,Brooklyn,Community School & SBHC,"1700 FULTON STREET Brooklyn, NY 11213",40.6789227,-73.9316585
